Lot,Bedroom,Units,Electric,Internet,FiberOpt,HeatFuel,Rooms,Water,Built,Tenure,JuniorMtg,FamEmp,Lang,Family,HHpresence,Move,Npersons,Nchild,Under18,Over60,Over65,Workers,WkExp,WkStatus,Vehicles,BroadBND,HiWorth
1,4,2,90,1,2,3,6,700,8,1,3,1,1,1,3,5,4,2,1,0,0,2,1,1,3,1,1
1,5,2,70,1,1,1,8,960,13,1,3,1,4,1,2,4,6,1,1,0,0,3,2,1,5,2,0
1,3,2,40,1,2,1,5,1400,3,1,3,1,1,1,2,5,4,1,1,0,0,2,1,1,4,1,0
1,4,2,130,1,2,1,5,30,4,1,3,1,4,1,2,5,4,1,1,2,2,2,8,4,3,1,0
1,3,1,1,1,1,1,6,1,7,1,3,,1,6,4,6,,0,0,1,1,,,,2,2,0
1,3,2,200,1,2,1,6,2,6,2,,,1,6,4,3,,0,0,1,0,,,,1,1,0
1,4,2,60,1,2,1,7,800,3,1,3,,1,6,4,7,,0,0,1,1,,,,1,2,0
2,2,3,100,1,2,3,5,80,5,1,1,1,1,1,4,5,2,0,0,2,1,2,5,4,1,1,0
1,4,2,470,1,2,1,9,230,4,1,3,2,1,1,2,6,3,1,1,0,0,3,4,3,3,2,1
1,4,2,30,1,2,1,9,3200,4,2,,1,3,1,4,5,4,0,0,2,2,3,1,1,4,2,1
1,5,2,300,1,2,1,8,2400,3,1,2,1,1,1,4,5,2,0,0,1,0,2,1,1,3,1,1
1,3,2,40,1,2,1,7,1600,2,1,3,,1,6,4,7,,0,0,1,1,,,,1,1,0
1,2,1,120,1,2,1,6,760,6,2,,3,1,1,4,3,2,0,0,2,2,1,7,7,2,1,0
1,2,2,200,1,2,1,6,1000,7,1,3,2,1,1,4,5,2,0,0,2,2,1,6,3,2,2,0
1,4,2,140,1,2,1,14,720,5,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,3,2,0
1,2,2,50,1,2,1,4,900,2,2,,,1,6,4,6,,0,0,1,0,,,,2,2,0
2,3,2,60,3,,1,6,1500,5,2,,8,2,3,4,7,2,0,0,1,1,0,15,15,1,,0
1,4,2,180,1,2,1,7,1200,4,1,3,2,4,1,3,4,8,5,1,0,0,2,8,3,4,1,1
1,4,2,200,1,2,1,14,110,7,1,3,7,2,3,2,4,4,2,1,0,0,2,13,13,1,1,0
2,3,2,50,1,2,1,4,50,3,2,,7,4,3,1,2,2,1,1,0,0,1,13,13,2,1,0
1,3,2,250,1,2,1,6,600,5,1,3,2,1,1,4,4,2,0,0,2,2,1,8,3,2,1,1
2,2,1,1,1,2,1,4,1,5,2,,2,2,1,3,3,6,4,1,0,0,1,3,3,2,2,0
1,7,2,300,1,2,1,10,4100,2,1,2,1,1,1,4,7,3,0,0,2,2,3,5,2,4,1,1
1,3,2,160,1,1,1,5,1200,3,1,3,,1,4,4,4,,0,0,1,1,,,,1,2,0
1,4,2,70,1,2,1,6,70,5,1,3,1,1,1,4,4,2,0,0,0,0,2,1,1,4,1,1
1,3,2,160,1,2,1,6,720,2,1,2,1,1,1,4,6,2,0,0,1,1,2,1,1,3,2,0
1,3,2,30,3,,1,5,550,4,2,,4,1,1,4,7,2,0,0,2,2,0,9,9,0,,0
1,4,2,50,1,1,3,8,550,6,1,3,5,4,2,4,6,3,0,0,1,1,2,10,10,4,2,0
1,4,2,90,1,2,3,7,600,5,1,3,5,1,2,1,4,2,1,1,1,0,1,10,10,3,1,0
1,2,2,80,1,2,1,4,20,6,2,,1,4,1,4,1,3,0,0,0,0,3,1,1,3,1,1
1,4,2,120,1,2,1,6,1300,6,1,2,2,1,1,2,5,4,1,1,0,0,1,3,3,2,1,0
1,4,2,120,1,1,1,8,60,16,1,3,1,1,1,1,3,3,1,1,0,0,2,1,1,2,1,1
1,3,2,120,1,2,1,7,360,2,1,3,1,1,1,2,5,4,2,1,0,0,3,1,1,2,1,1
1,3,1,30,3,,4,5,420,4,1,3,,1,4,4,7,,0,0,1,1,,,,0,,0
1,4,2,30,1,2,1,6,1400,3,1,2,1,1,1,2,5,4,2,1,0,0,3,1,1,2,2,1
2,5,2,400,1,1,1,14,1100,2,1,3,,2,1,4,7,2,0,0,2,2,0,9,,2,1,0
1,4,2,80,1,2,1,9,800,6,2,,4,4,1,4,7,3,0,0,2,2,0,9,9,4,2,0
1,3,2,170,1,2,1,7,1500,2,1,3,,1,5,4,7,,0,0,1,1,,,,4,2,0
2,4,2,450,1,2,2,14,4100,5,2,,,1,7,4,3,,0,0,2,1,,,,2,2,0
1,3,2,10,1,2,1,10,380,5,2,,1,1,1,4,7,2,0,0,2,2,2,5,1,2,1,0
1,3,2,280,1,2,1,6,110,1,1,3,7,1,3,2,2,3,1,1,0,0,1,13,13,2,1,0
1,3,2,130,1,2,9,5,1200,2,1,3,1,2,1,4,3,3,0,0,0,0,3,1,1,3,1,0
1,3,3,50,1,2,1,4,20,6,1,3,1,4,1,2,6,5,2,1,0,0,3,2,1,2,1,0
1,3,2,50,1,2,1,7,900,4,1,3,2,1,1,2,5,4,2,1,0,0,1,7,3,2,2,0
1,5,2,120,1,1,1,7,1600,7,1,3,2,1,1,4,5,3,0,0,2,2,1,6,3,1,2,0
2,3,1,200,3,,3,5,2,2,1,3,,2,6,4,5,,0,0,0,0,,,,1,,0
1,3,2,1,1,2,1,5,4100,5,1,3,2,1,1,4,6,3,0,0,1,0,3,2,3,3,1,0
1,1,3,20,1,2,1,3,1,5,1,3,,1,6,4,1,,0,0,1,1,,,,1,2,0
3,3,2,640,1,2,1,9,2,2,2,,4,1,1,4,7,3,0,0,2,2,1,6,9,3,1,0
1,4,2,180,1,2,1,5,1200,8,1,3,1,5,1,1,4,4,2,1,0,0,2,2,1,5,1,0
1,3,2,290,1,2,2,6,70,8,2,,4,5,1,4,5,2,0,0,2,2,0,9,9,1,2,1
1,2,3,20,1,2,2,4,1,7,2,,,1,4,4,1,,0,0,0,0,,,,2,1,0
2,1,2,110,1,2,6,5,2,1,1,3,7,2,3,4,5,2,0,0,2,2,1,13,13,3,2,0
1,3,2,50,1,2,1,6,90,1,2,,7,2,3,4,7,2,0,0,1,1,1,14,13,2,2,0
1,3,2,50,1,2,1,8,1100,8,1,3,1,1,1,4,3,2,0,0,0,0,2,1,1,2,2,0
1,4,2,170,1,1,3,6,1300,3,1,3,6,3,2,4,7,2,0,0,2,2,0,12,12,1,1,0
1,4,2,70,2,,1,7,900,1,1,3,1,4,1,4,6,2,0,0,1,1,2,4,1,3,,0
1,2,2,30,1,2,1,3,500,3,2,,,1,6,4,7,,0,0,1,1,,,,3,2,0
1,3,2,150,1,2,3,7,600,4,2,,1,1,1,4,7,2,0,0,2,0,2,4,1,2,1,1
1,4,2,10,1,2,2,8,1200,5,1,2,1,1,1,4,5,2,0,0,0,0,2,1,1,2,2,1
1,3,2,70,2,,1,6,250,2,2,,,1,7,4,7,,0,0,1,1,,,,4,,0
1,2,2,60,1,2,1,4,1200,5,2,,1,4,1,1,3,3,1,1,0,0,2,2,1,2,1,0
1,3,3,180,1,2,3,6,960,6,1,2,1,1,1,4,1,2,0,0,0,0,2,1,1,2,2,1
1,5,2,140,1,2,1,8,1300,4,2,,2,1,1,2,6,4,1,1,0,0,3,4,3,3,1,0
1,3,2,100,1,2,1,6,760,4,1,3,1,1,1,4,3,2,0,0,2,1,1,8,5,2,1,0
1,4,2,200,1,2,1,8,800,6,1,3,,1,6,4,7,,0,0,0,0,,,,1,2,0
1,3,2,350,3,,1,6,2400,2,2,,8,1,3,4,7,2,0,0,1,1,0,15,15,1,,0
1,3,2,60,3,,1,6,240,4,2,,4,1,1,4,6,3,0,0,2,2,1,9,9,2,,0
1,0,1,2,2,,9,1,2,6,2,,,1,4,4,1,,0,0,0,0,,,,0,,0
2,7,2,210,1,2,1,14,4100,1,1,3,4,1,1,4,7,2,0,0,2,2,0,9,9,3,1,1
1,2,3,20,1,2,1,4,300,6,1,3,,1,4,4,5,,0,0,1,0,,,,1,2,0
2,3,2,2,1,2,3,8,360,8,2,,4,1,1,4,5,2,0,0,2,1,0,9,9,2,1,0
1,3,2,90,1,2,1,4,90,6,2,,1,1,1,4,5,2,0,0,1,0,2,4,1,0,1,0
1,2,2,80,1,2,3,4,600,2,1,3,2,2,1,2,1,4,2,1,0,0,1,3,3,2,2,0
1,2,2,30,1,2,1,5,100,1,1,2,1,1,1,1,4,4,2,1,0,0,2,1,1,3,1,1
1,3,3,160,1,1,1,5,800,1,2,,4,3,1,4,7,2,0,0,2,2,0,9,9,1,1,0
2,3,3,250,1,2,1,7,2,7,1,3,1,1,1,4,6,2,0,0,1,0,2,2,2,3,1,0
1,3,2,150,1,1,3,6,850,4,1,3,3,3,1,2,5,5,2,1,0,0,1,6,7,2,2,0
